Item,Indiana,Adams,Allen,Bartholomew,Benton,Blackford,Boone,Brown,Carroll,Cass,Clark,Clay,Clinton,Crawford,Daviess,Dearborn,Decatur,DeKalb,Delaware,Dubois,Elkhart,Fayette,Floyd,Fountain,Franklin,Fulton,Gibson,Grant,Greene,Hamilton,Hancock,Harrison,Hendricks,Henry,Howard,Huntington,Jackson,Jasper,Jay,Jefferson,Jennings,Johnson,Knox,Kosciusko,LaGrange,Lake,LaPorte,Lawrence,Madison,Marion,Marshall,Martin,Miami,Monroe,Montgomery,Morgan,Newton,Noble,Ohio,Orange,Owen,Parke,Perry,Pike,Porter,Posey,Pulaski,Putnam,Randolph,Ripley,Rush,St. Joseph,Scott,Shelby,Spencer,Starke,Steuben,Sullivan,Switzerland,Tippecanoe,Tipton,Union,Vanderburgh,Vermillion,Vigo,Wabash,Warren,Warrick,Washington,Wayne,Wells,White,Whitley
"number, 2022","51,943,087",993,(D),(D),-,-,(D),450,868,(D),(D),45,(D),-,(D),314,701,620,135,(D),"11,241,510",-,620,-,59,265,800,(D),"2,210",-,"31,650","3,187,010","1,611",373,-,28,197,(D),(D),"3,200","4,010",533,-,"3,455,426","12,088,804",(D),162,"1,878",(D),(D),"1,774,963",-,-,(D),202,41,-,"2,145,907",-,(D),186,866,-,-,214,-,300,704,-,110,(D),460,570,"5,300",(D),105,(D),-,160,(D),600,100,(D),(D),112,598,(D),(D),"14,424,400",653,(D),(D),(D)
2017,"44,862,510","80,690","299,009","1,024",(D),-,"2,760",-,-,236,(D),(D),345,-,(D),228,931,682,(D),(D),"7,049,094",(D),-,-,675,190,-,-,"5,800",70,950,"2,428,030","3,355","65,807","8,395",175,"1,995","1,060",(D),532,"4,471",252,180,"2,881,495","7,356,936",(D),-,885,500,"1,366","1,009,050",600,(D),30,890,115,-,"1,040,707",-,"3,271,320",57,734,840,-,922,-,(D),"1,634",(D),"72,174",75,141,387,"1,245",(D),(D),-,"9,000",(D),433,400,260,(D),(D),140,"4,118",63,395,"18,299,166","1,705",(D),(D),"1,428"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",505,12,17,4,-,-,1,3,6,1,15,3,3,-,7,8,5,10,5,1,41,-,4,-,6,8,9,1,13,-,7,1,20,8,-,3,3,1,5,3,4,4,-,23,49,1,4,8,8,2,14,-,-,2,6,4,-,16,-,1,6,13,-,-,5,-,4,9,-,5,2,7,7,10,2,3,2,-,4,1,6,4,3,1,3,6,2,1,-,10,2,2,5
"2,000 to 59,999.....................................................................",25,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,1,1,-,-,-,-,11,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-
"60,000 to 99,999...................................................................",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,55,-,-,-,-,-,4,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
"200,000 to 499,999...............................................................",24,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1
"500,000 or more....................................................................",25,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-
"Turkeys sold                                                                      farms, 2022",457,5,9,-,-,-,6,-,1,-,7,-,2,3,64,-,-,-,8,52,11,1,-,-,-,1,2,-,16,1,5,1,6,5,-,-,1,8,35,1,2,-,11,4,21,1,1,10,1,-,3,21,3,-,5,3,-,11,-,12,1,8,3,8,-,-,-,3,14,-,-,-,-,-,6,4,-,6,-,1,-,-,-,-,3,3,4,-,22,7,3,-,1
