"","GID_2","value"
"801","USA.19.13_1",28
"802","USA.19.14_1",63
"803","USA.19.15_1",4
"804","USA.19.16_1",93
"805","USA.19.17_1",77
"806","USA.19.18_1",3
"807","USA.19.19_1",71
"808","USA.19.20_1",41
"809","USA.19.21_1",27
"810","USA.19.22_1",47
"811","USA.19.23_1",36
"812","USA.19.24_1",8
"813","USA.19.25_1",48
"814","USA.19.26_1",0
"815","USA.19.27_1",73
"816","USA.19.28_1",61
"817","USA.19.29_1",99
"818","USA.19.30_1",59
"819","USA.19.31_1",101
"820","USA.19.32_1",131
"821","USA.19.33_1",4
"822","USA.19.34_1",17
"823","USA.19.35_1",43
"824","USA.19.36_1",14
"825","USA.19.37_1",114
"826","USA.19.38_1",8
"827","USA.19.39_1",40
"828","USA.19.40_1",101
"829","USA.19.41_1",18
"830","USA.19.42_1",15
"831","USA.19.43_1",62
"832","USA.19.44_1",8
"833","USA.19.45_1",11
"834","USA.19.46_1",55
"835","USA.19.47_1",6
"836","USA.19.48_1",2
"837","USA.19.49_1",118
"838","USA.19.50_1",49
"839","USA.19.51_1",10
"840","USA.19.52_1",224
"841","USA.19.53_1",137
"842","USA.19.54_1",6
"843","USA.19.55_1",33
"844","USA.19.56_1",117
"845","USA.19.57_1",81
"846","USA.19.58_1",114
"847","USA.19.59_1",152
"848","USA.19.60_1",68
"849","USA.19.61_1",14
"850","USA.19.62_1",28
"851","USA.19.63_1",0
"852","USA.19.64_1",35
"853","USA.21.1_1",46
"854","USA.21.2_1",180
"855","USA.21.3_1",207
"856","USA.21.4_1",78
"857","USA.21.5_1",154
"858","USA.21.6_1",284
"859","USA.21.7_1",127
"860","USA.21.8_1",86
"861","USA.21.9_1",76
"862","USA.21.10_1",327
"863","USA.21.11_1",124
"864","USA.21.12_1",136
"865","USA.21.13_1",75
"866","USA.21.14_1",41
"867","USA.21.15_1",164
"868","USA.21.16_1",0
"869","USA.21.17_1",0
"870","USA.21.18_1",0
"871","USA.21.19_1",88
"872","USA.21.20_1",41
"873","USA.21.21_1",178
"874","USA.21.22_1",109
"875","USA.21.23_1",92
"876","USA.23.1_1",32
"877","USA.23.2_1",22
"878","USA.23.3_1",230
"879","USA.23.4_1",61
